id,original_sentence,attack_sentence,sentiment
111,Dragonfly Love is another [[video]] [[shot]] from start to finish using the Nokia N8,Dragonfly Love is another [[videos]] [[felled]] from start to finish using the Nokia N8,2
112,The [[profit]] after [[taxes]] was EUR 57.7 11.1 million,The [[gains]] after [[tolls]] was EUR 57.7 11.1 million,2
113,The [[company]] will propose a [[dividend]] of EUR0 .12 [[per]] share for 2008,The [[firms]] will propose a [[payout]] of EUR0 .12 [[para]] share for 2008,2
114,"UPM-Kymmene www.upm-kymmene.[[com]] [[produces]] [[magazine]] papers and newsprint , as well as [[fine]] and specialty papers , [[converting]] [[materials]] and wood [[products]]","UPM-Kymmene www.upm-kymmene.[[coms]] [[engenders]] [[revue]] papers and newsprint , as well as [[admirable]] and specialty papers , [[transforming]] [[hardware]] and wood [[commodity]]",2
115,"`` This vessel [[order]] will [[help]] Aspo [[secure]] the long-term [[competitiveness]] of its fleet , both in terms of [[technology]] and pricing","`` This vessel [[decree]] will [[aids]] Aspo [[insure]] the long-term [[competitive]] of its fleet , both in terms of [[ways]] and pricing",0
116,"Net [[sales]] [[surged]] by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009","Net [[sale]] [[ascent]] by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009",0
117,Kauko-Telko 's centralized [[administration]] will be dissolved and [[appropriate]] parts of it will be [[transferred]] to operating [[activities]] and Group administration by the end of the year,Kauko-Telko 's centralized [[administrative]] will be dissolved and [[adequate]] parts of it will be [[trespassed]] to operating [[activity]] and Group administration by the end of the year,2
118,"[[Global]] [[sports]] equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , [[saw]] a 64 percent [[increase]] in third-quarter net profit to EURO 47.4 million $ 65 million on [[strong]] [[sales]] and [[cost]] cuts","[[Universally]] [[sportsmen]] equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , [[encountered]] a 64 percent [[hiked]] in third-quarter net profit to EURO 47.4 million $ 65 million on [[emphatic]] [[sells]] and [[price]] cuts",0
119,- Net sales for the period are expected to [[fall]] [[well]] below that of last year and the result after non-recurring items is expected to be in the red,- Net sales for the period are expected to [[downfall]] [[good]] below that of last year and the result after non-recurring items is expected to be in the red,1
120,down to EUR5 .9 m H1 '09 3 August 2009 - Finnish [[media]] group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) [[said]] today its net profit [[fell]] 45 % on the year to EUR5 .9 m in the [[first]] half of 2009,down to EUR5 .9 m H1 '09 3 August 2009 - Finnish [[average]] group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) [[affirmed]] today its net profit [[stumbled]] 45 % on the year to EUR5 .9 m in the [[premiere]] half of 2009,1
121,ABN : 59 087 901 620 now [[represent]] 5.10 % of the [[voting]] [[rights]] and [[share]] capital of Citycon Oyj,ABN : 59 087 901 620 now [[symbolizing]] 5.10 % of the [[polling]] [[right]] and [[sharing]] capital of Citycon Oyj,2
122,"[[The]] sellers [[include]] 40 shareholders , including Intellibis management , employees and other investors","[[Nova]] sellers [[implicating]] 40 shareholders , including Intellibis management , employees and other investors",2
123,"Commenting on the [[deal]] , Shane Lennon , SVP of [[Marketing]] & [[Product]] Development at GyPSii said :","Commenting on the [[struggles]] , Shane Lennon , SVP of [[Merchandising]] & [[Produces]] Development at GyPSii said :",2
124,"Since the registration of the shares [[subscribed]] in a directed share [[issue]] , the [[new]] number of Panostaja [[shares]] and [[voting]] rights is 41,733,110","Since the registration of the shares [[signature]] in a directed share [[problem]] , the [[novo]] number of Panostaja [[share]] and [[ballots]] rights is 41,733,110",2
125,"The [[remaining]] amount will be [[funded]] through debt , the [[Danish]] bank said","The [[surplus]] amount will be [[aided]] through debt , the [[Danes]] bank said",2
126,"The power supplies , DC [[power]] systems and inverters [[designed]] and manufactured by Efore , and systems incorporating them are [[used]] in [[many]] [[different]] applications","The power supplies , DC [[wattage]] systems and inverters [[established]] and manufactured by Efore , and systems incorporating them are [[exploiting]] in [[invaluable]] [[diversity]] applications",2
127,It [[estimates]] the operating profit to further [[improve]] from the third quarter,It [[calculates]] the operating profit to further [[augmentation]] from the third quarter,0
128,Finnish Bank of +àland reports its operating profit [[fell]] to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006,Finnish Bank of +àland reports its operating profit [[stumbled]] to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006,1
129,[[Finnish]] [[department]] store chain Stockmann Oyj Abp net [[profit]] [[rose]] to 39.8 [[mln]] euro ( $ 56.8 [[mln]] ) for the [[first]] nine [[months]] of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006,[[Finns]] [[ministry]] store chain Stockmann Oyj Abp net [[revenues]] [[rebounds]] to 39.8 [[trillion]] euro ( $ 56.8 [[trillion]] ) for the [[premiere]] nine [[monthly]] of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006,0
130,"Finnish high technology provider Vaahto Group [[reports]] [[net]] [[sales]] of EUR 41.8 [[mn]] in the accounting period September 2007 - [[February]] 2008 , an [[increase]] of 11.2 % from a year [[earlier]]","Finnish high technology provider Vaahto Group [[reporting]] [[wisp]] [[sells]] of EUR 41.8 [[minneapolis]] in the accounting period September 2007 - [[Aug]] 2008 , an [[redouble]] of 11.2 % from a year [[prior]]",0
131,"Cash flow from operations totalled EUR 7.4 mn , [[compared]] to a [[negative]] EUR 68.6 mn in the [[second]] quarter of 2008","Cash flow from operations totalled EUR 7.4 mn , [[compares]] to a [[injurious]] EUR 68.6 mn in the [[ii]] quarter of 2008",0
132,Juha Haapakoski will [[continue]] as Editor-in-Chief with budget [[responsibility]] also with the [[new]] publisher,Juha Haapakoski will [[incessant]] as Editor-in-Chief with budget [[burdens]] also with the [[nouvelle]] publisher,2
133,[[Customers]] in a [[wide]] range of [[industries]] use our stainless steel and services worldwide,[[Buyers]] in a [[stronger]] range of [[companies]] use our stainless steel and services worldwide,2
134,Currently the quarterly applied surcharges [[differ]] significantly from the actual market prices,Currently the quarterly applied surcharges [[deviate]] significantly from the actual market prices,2
135,The non-recurring costs caused to Talentum 's Premedia business area by the [[restructuring]] will amount to 2.0 mln euro $ 2.7 mln and will be [[included]] in the company 's financial [[results]] for the second quarter of 2007,The non-recurring costs caused to Talentum 's Premedia business area by the [[redesigning]] will amount to 2.0 mln euro $ 2.7 mln and will be [[inscribed]] in the company 's financial [[upshot]] for the second quarter of 2007,2
136,The [[closing]] of such [[transaction]] took place today,The [[shutdown]] of such [[surgeries]] took place today,2
137,Earnings per share ( EPS ) in 2005 [[decreased]] to EUR1 .87 from EUR1 .89 in 2003,Earnings per share ( EPS ) in 2005 [[shortening]] to EUR1 .87 from EUR1 .89 in 2003,1
138,Major Order in India Comptel Corporation has received a [[significant]] long-term [[order]] for mediation and provisioning solutions being used by a leading operator in India,Major Order in India Comptel Corporation has received a [[huge]] long-term [[injunction]] for mediation and provisioning solutions being used by a leading operator in India,0
139,Operating [[profit]] [[excluding]] non-recurring items [[increased]] by 27 % to EUR 81.9 mn from [[EUR]] 64.4 mn in the corresponding period in 2008,Operating [[earn]] [[excludes]] non-recurring items [[extending]] by 27 % to EUR 81.9 mn from [[EURO]] 64.4 mn in the corresponding period in 2008,0
140,"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for [[growth]] abroad","According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for [[augment]] abroad",2
141,"`` The implementation of these programs has had , and will have , [[negative]] [[impacts]] on 2006 and 2007 earnings , '' Mr Meiklejohn said","`` The implementation of these programs has had , and will have , [[noxious]] [[influencing]] on 2006 and 2007 earnings , '' Mr Meiklejohn said",1
142,Elcoteq SE is Europe 's [[largest]] contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai,Elcoteq SE is Europe 's [[strongest]] contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai,2
143,"Addus ' [[services]] [[include]] personal care and [[assistance]] with [[activities]] of daily living , skilled nursing and rehabilitative therapies , and adult [[day]] care","Addus ' [[service]] [[incorporating]] personal care and [[aided]] with [[initiatives]] of daily living , skilled nursing and rehabilitative therapies , and adult [[dias]] care",2
144,"The company can not give up [[palm]] oil [[altogether]] , however","The company can not give up [[palma]] oil [[cordially]] , however",2
145,Our standardised services have [[met]] with a [[positive]] reception [[among]] our [[customers]] as well as at Itella,Our standardised services have [[adhered]] with a [[actively]] reception [[between]] our [[consumers]] as well as at Itella,0
146,"Last July , the group [[said]] it [[intended]] to relocate [[warehouse]] and office space in Loudeac and Saint Marcel to Morvillars , in the [[east]] of France , where it already operates a hook manufacturing and [[distribution]] unit","Last July , the group [[affirmed]] it [[designed]] to relocate [[depots]] and office space in Loudeac and Saint Marcel to Morvillars , in the [[southeast]] of France , where it already operates a hook manufacturing and [[distribute]] unit",2
147,Operating profit [[fell]] to EUR 38.1 mn from EUR 55.3 mn in 2007,Operating profit [[autumn]] to EUR 38.1 mn from EUR 55.3 mn in 2007,1
148,It also turned to [[earnings]] per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04,It also turned to [[dividend]] per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04,0
149,"[[Revenue]] from July to September [[grew]] 21 percent to EURO 2.3 billion , the [[Finnish]] [[company]] said Thursday","[[Recipes]] from July to September [[extending]] 21 percent to EURO 2.3 billion , the [[Finland]] [[corporations]] said Thursday",0
150,"[[At]] the end of March 2009 , the [[company]] 's loans [[amounted]] to [[EUR]] 10.113 mn","[[During]] the end of March 2009 , the [[firms]] 's loans [[synthesized]] to [[EURO]] 10.113 mn",2
151,"Following the demerger , the vice president of the group 's [[pharmaceutical]] trade in [[Finland]] , Jukka Niemi , will be [[appointed]] managing director of Oriola in [[addition]] to his [[current]] [[responsibilities]]","Following the demerger , the vice president of the group 's [[pharmacology]] trade in [[Finns]] , Jukka Niemi , will be [[appointments]] managing director of Oriola in [[anymore]] to his [[incessant]] [[liabilities]]",2
152,"Net [[income]] from life [[insurance]] [[rose]] to EUR 16.5 mn from EUR 14.0 mn , and [[net]] [[income]] from non-life [[insurance]] to [[EUR]] 22.6 mn from EUR 15.2 mn in 2009","Net [[revenue]] from life [[security]] [[hiked]] to EUR 16.5 mn from EUR 14.0 mn , and [[wisp]] [[receipts]] from non-life [[security]] to [[EURO]] 22.6 mn from EUR 15.2 mn in 2009",0
153,"[[In]] providing managed services , Nokia takes [[responsibility]] for building , operating and transferring as [[well]] as optimising the Indosat 3G network","[[Across]] providing managed services , Nokia takes [[responsability]] for building , operating and transferring as [[good]] as optimising the Indosat 3G network",2
154,"Aldata [[Solution]] Oyj Bertrand Sciard President and CEO Further information : Aldata [[Solution]] Oyj , Bertrand Sciard , President and [[CEO]] , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our [[business]] is [[dedicated]] to retail and wholesale business [[improvement]]","Aldata [[Resolve]] Oyj Bertrand Sciard President and CEO Further information : Aldata [[Tackling]] Oyj , Bertrand Sciard , President and [[CEOS]] , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our [[firms]] is [[specialising]] to retail and wholesale business [[betterment]]",2
155,"Okmetic [[closed]] its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA","Okmetic [[shuts]] its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA",2
156,"As of [[July]] 2 , 2007 , the [[market]] [[cap]] segments will be [[updated]] [[according]] to the average price in May 2007","As of [[Nov]] 2 , 2007 , the [[commercialized]] [[roof]] segments will be [[upgraded]] [[pursuant]] to the average price in May 2007",2
157,"Arvo Vuorenmaa , the Loviisa [[plant]] 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite [[confident]] '' about approval being granted","Arvo Vuorenmaa , the Loviisa [[vegetation]] 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite [[certainty]] '' about approval being granted",0
158,"In January-September 2009 , the Group 's net interest income [[increased]] to EUR 112.4 mn from EUR 74.3 mn in January-September 2008","In January-September 2009 , the Group 's net interest income [[rebounds]] to EUR 112.4 mn from EUR 74.3 mn in January-September 2008",0
159,"The Internal Revenue Service sees about 20 percent of all taxpayers [[wait]] until the last two weeks to file , with about 40 million returns filed in April","The Internal Revenue Service sees about 20 percent of all taxpayers [[sufferance]] until the last two weeks to file , with about 40 million returns filed in April",2
160,"However , the proportion of the paid standing orders [[grew]] in 2009","However , the proportion of the paid standing orders [[augmentation]] in 2009",0
161,"The company [[serves]] customers in [[various]] industries , including process and [[resources]] , industrial machinery , architecture , building , [[construction]] , [[electrical]] , transportation , electronics , chemical , petrochemical , energy , and information technology , as [[well]] as [[catering]] and households","The company [[contributed]] customers in [[other]] industries , including process and [[finances]] , industrial machinery , architecture , building , [[architectural]] , [[electrified]] , transportation , electronics , chemical , petrochemical , energy , and information technology , as [[good]] as [[nutritious]] and households",2
162,"Operating [[loss]] before non-recurring items was EUR 0.9 mn , compared to a [[profit]] of EUR 11.5 mn in 2008","Operating [[losing]] before non-recurring items was EUR 0.9 mn , compared to a [[perks]] of EUR 11.5 mn in 2008",1
163,"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , [[making]] up 0.1 percent of Slovakia 's total imports","According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , [[doing]] up 0.1 percent of Slovakia 's total imports",2
164,"Stockholm , 3 March 2011 About Cybercom [[The]] Cybercom Group is a high-tech [[consultancy]] that [[offers]] [[global]] sourcing for end-to-end solutions","Stockholm , 3 March 2011 About Cybercom [[To]] Cybercom Group is a high-tech [[direction]] that [[affords]] [[universal]] sourcing for end-to-end solutions",2
165,The company 's market share is [[continued]] to [[increase]] further,The company 's market share is [[ceaseless]] to [[raising]] further,0
166,Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a [[profit]] warning for the financial year 2008,Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a [[winnings]] warning for the financial year 2008,1
167,The bridge will be 1.2 km [[long]] and is [[located]] between Anasmotet by the [[road]] E20 and the [[new]] [[traffic]] junction in Marieholm by the road E45,The bridge will be 1.2 km [[lengthened]] and is [[positioned]] between Anasmotet by the [[pathway]] E20 and the [[newest]] [[trafficking]] junction in Marieholm by the road E45,2
168,"`` [[Small]] firms are [[suffering]] at the [[moment]] because they are likely to have money [[trouble]] , '' he added","`` [[Minimal]] firms are [[privation]] at the [[moments]] because they are likely to have money [[annoyance]] , '' he added",1
169,"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a [[drop]] of 29 percent year on year","YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a [[chute]] of 29 percent year on year",1
170,"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net [[loss]] of 299,000 euro $ 430,000 for the corresponding period of 2006","Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net [[losing]] of 299,000 euro $ 430,000 for the corresponding period of 2006",0
171,"The platform is [[based]] [[built]] on Intel s second-generation MID platform , [[called]] Moorestown","The platform is [[groundwork]] [[build]] on Intel s second-generation MID platform , [[calls]] Moorestown",2
172,"In Lithuania , operating [[profit]] [[rose]] to EUR 190,000 from EUR 70,000 in the corresponding period in 2005","In Lithuania , operating [[revenues]] [[hikes]] to EUR 190,000 from EUR 70,000 in the corresponding period in 2005",0
173,"Managing Director 's [[comments]] : `` Net sales for the first quarter were notably [[lower]] than a year before , especially in Finland , Russia and the Baltic countries","Managing Director 's [[commentary]] : `` Net sales for the first quarter were notably [[slash]] than a year before , especially in Finland , Russia and the Baltic countries",1
174,"Sales in Finland [[decreased]] by 10.5 % in [[January]] , while sales outside Finland [[dropped]] by 17 %","Sales in Finland [[lowering]] by 10.5 % in [[Janvier]] , while sales outside Finland [[shrunk]] by 17 %",1
175,"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals [[announced]] [[positive]] results with nalmefene in a pilot Phase 2 clinical trial for smoking [[cessation]]","After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals [[declared]] [[actively]] results with nalmefene in a pilot Phase 2 clinical trial for smoking [[ceasing]]",0
176,"[[In]] the method the smelt spouts 2 are [[separated]] from the [[working]] [[area]] 6 by a shielding wall 8 , 10 arranged [[movable]] in [[relation]] to the smelt spouts","[[During]] the method the smelt spouts 2 are [[detached]] from the [[job]] [[domains]] 6 by a shielding wall 8 , 10 arranged [[cellphone]] in [[relating]] to the smelt spouts",2
177,"ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has [[developed]] an [[ornamental]] [[design]] for a [[handset]] , the U.S. Patent & Trademark Office [[announced]]","ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has [[phrased]] an [[adornment]] [[conceiving]] for a [[earphone]] , the U.S. Patent & Trademark Office [[proclaims]]",2
178,"[[says]] Brian Burton , Head of IT Security , Vodafone [[UK]]","[[complains]] Brian Burton , Head of IT Security , Vodafone [[BRITON]]",2
179,"Operating [[profit]] of Kauppalehti group [[rose]] to EUR 1.5 [[mn]] from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006","Operating [[revenue]] of Kauppalehti group [[hikes]] to EUR 1.5 [[min]] from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006",0
180,"The [[bond]] , with a [[maturity]] of five years , is [[part]] of the bank 's [[domestic]] [[bond]] [[program]]","The [[relationship]] , with a [[ripening]] of five years , is [[teil]] of the bank 's [[internally]] [[bonding]] [[agendas]]",2
181,"[[The]] mall is [[part]] of the Baltic Pearl development project in the [[city]] of [[St]] Petersburg , where Baltic [[Pearl]] CJSC , a [[subsidiary]] of Shanghai [[Foreign]] Joint [[Investment]] [[Company]] , is developing homes for 35,000 people","[[To]] mall is [[teil]] of the Baltic Pearl development project in the [[cities]] of [[Tk]] Petersburg , where Baltic [[Perl]] CJSC , a [[auxiliaries]] of Shanghai [[Abroad]] Joint [[Investor]] [[Promises]] , is developing homes for 35,000 people",2
182,"[[Sales]] [[improved]] to SEK 1,553 mn , [[compared]] with SEK 1,408 mn","[[Sells]] [[enhancing]] to SEK 1,553 mn , [[comparisons]] with SEK 1,408 mn",0
183,The deal is [[subject]] to approval by the Norwegian [[competition]] authorities,The deal is [[topic]] to approval by the Norwegian [[rivalries]] authorities,2
184,"The company 's net [[profit]] [[rose]] 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company [[said]] earlier","The company 's net [[revenues]] [[hikes]] 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company [[asserted]] earlier",0
185,A paper mill in the central Maine town of [[Madison]] [[soon]] will have a [[new]] owner,A paper mill in the central Maine town of [[Lexington]] [[speedily]] will have a [[nouveau]] owner,2
186,The order also [[includes]] start-up and commissioning services,The order also [[implicates]] start-up and commissioning services,2
187,Closing of such transaction took [[place]] today,Closing of such transaction took [[mise]] today,2
188,"Svyturys-Utenos Alus , which is [[controlled]] by the Nordic group Baltic [[Beverages]] [[Holding]] ( BBH ) , posted a 6.1 percent [[growth]] in beer [[sales]] for January-September to 101.99 [[million]] liters","Svyturys-Utenos Alus , which is [[policed]] by the Nordic group Baltic [[Cocktails]] [[Organising]] ( BBH ) , posted a 6.1 percent [[widening]] in beer [[sells]] for January-September to 101.99 [[trillion]] liters",0
189,"Order intake [[grew]] by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 [[periods]]","Order intake [[hiked]] by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 [[deadlines]]",0
190,"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , [[lost]] about $ 3.5 million in Madoff Ponzi scheme","The Baltimore Police and Fire Pension , which has about $ 1.5 billion , [[outof]] about $ 3.5 million in Madoff Ponzi scheme",1
191,"The [[devices]] would be [[launched]] in the Chinese market in [[late]] 2006 , the company said","The [[tool]] would be [[inaugurated]] in the Chinese market in [[belated]] 2006 , the company said",2
192,"Operating profit for the three-month [[period]] [[increased]] from EUR1 .2 m , while [[revenue]] [[increased]] from EUR20 .2 m , as compared to the corresponding [[period]] in 2005","Operating profit for the three-month [[timetable]] [[rebounds]] from EUR1 .2 m , while [[earns]] [[rises]] from EUR20 .2 m , as compared to the corresponding [[timing]] in 2005",0
193,"May 29 , 2010 ( CompaniesandMarkets.com [[delivered]] by Newstex ) -- This [[report]] [[provides]] key data and [[information]] on the meat , [[fish]] and poultry market in Finland","May 29 , 2010 ( CompaniesandMarkets.com [[yielded]] by Newstex ) -- This [[rapport]] [[affords]] key data and [[enlightening]] on the meat , [[pez]] and poultry market in Finland",2
194,[[The]] total project duration is [[three]] [[years]] and it is [[valued]] at some EUR11 .5 m,[[To]] total project duration is [[trois]] [[ageing]] and it is [[valuing]] at some EUR11 .5 m,2
195,[[Name]] of [[Company]] in which holdings have been [[acquired]] : Citycon Oyj 2,[[Designation]] of [[Entrepreneurial]] in which holdings have been [[gains]] : Citycon Oyj 2,2
196,This organization will [[assume]] the [[responsibility]] for operations in Russia,This organization will [[reckon]] the [[responsibly]] for operations in Russia,2
197,"( ADP News ) - Feb 11 , 2009 - [[Finnish]] [[management]] software solutions [[provider]] Ixonos Oyj ( HEL : XNS1V ) [[said]] today its net [[profit]] [[rose]] to EUR 3.5 million ( [[USD]] 4.5 m ) for 2008 from EUR 3.1 [[million]] for 2007","( ADP News ) - Feb 11 , 2009 - [[Helsinki]] [[executives]] software solutions [[salesperson]] Ixonos Oyj ( HEL : XNS1V ) [[saying]] today its net [[revenues]] [[hikes]] to EUR 3.5 million ( [[DOLLAR]] 4.5 m ) for 2008 from EUR 3.1 [[millionth]] for 2007",0
198,"One [[price]] category is for [[calls]] on the preferred [[operator]] 's [[network]] , and [[another]] for calls on other operators ' networks","One [[burdens]] category is for [[demands]] on the preferred [[exploiter]] 's [[nets]] , and [[further]] for calls on other operators ' networks",2
199,The plant is expected to enter [[commercial]] [[operation]] by mid-2009,The plant is expected to enter [[merchandising]] [[activity]] by mid-2009,2
200,[[The]] [[contract]] is worth some [[EUR]] 1 [[million]],[[To]] [[agreement]] is worth some [[EURO]] 1 [[zillion]],2
201,The [[order]] is related to [[renewing]] the network of the [[telecommunications]] operator,The [[injunction]] is related to [[renewed]] the network of the [[communicative]] operator,2
202,The contract will take [[effect]] in 2009 for a five or ten year period,The contract will take [[repercussions]] in 2009 for a five or ten year period,2
203,"In the third quarter of 2007 , net sales [[totaled]] EUR 25.95 mn , and operating [[profit]] EUR 3.88 mn","In the third quarter of 2007 , net sales [[reached]] EUR 25.95 mn , and operating [[gains]] EUR 3.88 mn",2
204,"Marathon now has a 4.6 percent [[stake]] in PLX , it [[said]] , [[according]] to Bloomberg","Marathon now has a 4.6 percent [[staking]] in PLX , it [[renews]] , [[virtue]] to Bloomberg",2
205,The shares shall be [[acquired]] according to the [[Rules]] of NASDAQ OMX [[Helsinki]] and [[otherwise]] according to the [[rules]] related to acquisition of the [[company]] 's own shares,The shares shall be [[gaining]] according to the [[Bylaws]] of NASDAQ OMX [[Tampere]] and [[further]] according to the [[bylaws]] related to acquisition of the [[ventures]] 's own shares,2
206,The pretax profit of the group 's life [[insurance]] business [[increased]] to EUR36m from EUR27m,The pretax profit of the group 's life [[seguro]] business [[rebounds]] to EUR36m from EUR27m,0
207,The [[agreement]] [[strengthens]] our long-term [[partnership]] with Nokia Siemens [[Networks]],The [[mechanisms]] [[enriches]] our long-term [[collaborated]] with Nokia Siemens [[Webs]],0
208,`` We are [[pleased]] with the [[efforts]] of both [[negotiating]] [[teams]] and [[look]] forward to a productive four [[years]] ahead . ',`` We are [[ravi]] with the [[activities]] of both [[negotiates]] [[computers]] and [[listens]] forward to a productive four [[ages]] ahead . ',0
209,Operating result including non-recurring [[items]] [[rose]] to EUR 146mn from a loss of EUR 267mn in 2009,Operating result including non-recurring [[matters]] [[ascent]] to EUR 146mn from a loss of EUR 267mn in 2009,0
210,"Of these [[shares]] 14,747,084 are [[held]] by the Company and the number of outstanding shares and voting rights attached to the shares [[amounts]] [[thus]] to 161,256,847","Of these [[shared]] 14,747,084 are [[coerced]] by the Company and the number of outstanding shares and voting rights attached to the shares [[volumes]] [[where]] to 161,256,847",2
211,"Exel 's board of directors will propose a [[dividend]] of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007","Exel 's board of directors will propose a [[payout]] of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007",2
212,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its [[slipped]] to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier","Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its [[jumped]] to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier",1
213,"The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as [[well]] as for the automotive industry","The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as [[good]] as for the automotive industry",2
214,"[[In]] [[Finland]] 's Hobby Hall 's sales [[decreased]] by 10 % , and international sales [[fell]] by 19 %","[[Toward]] [[Finnish]] 's Hobby Hall 's sales [[lessened]] by 10 % , and international sales [[shortening]] by 19 %",1
215,"Oka specialises in new [[construction]] , [[renovation]] [[work]] of residential and non-residential building as [[well]] as premises for industrial and logistical [[use]]","Oka specialises in new [[edifice]] , [[renewed]] [[cooperation]] of residential and non-residential building as [[bah]] as premises for industrial and logistical [[utilise]]",2
216,Olli-Pekka [[Laine]] has been appointed as the Chairman and Erkki Pehu-Lehtonen as the [[Vice]] [[Chairman]] of the [[Board]],Olli-Pekka [[Lana]] has been appointed as the Chairman and Erkki Pehu-Lehtonen as the [[Sleazy]] [[Chairwoman]] of the [[Government]],2
217,[[The]] business to be divested [[generates]] [[consolidated]] net sales of EUR 60 million annually and currently has some 640 employees,[[To]] business to be divested [[engenders]] [[solidify]] net sales of EUR 60 million annually and currently has some 640 employees,2
218,"According to Seikku , the retail sector in Finland is [[controlled]] by 3-4 large actors , while food manufacturers are still relatively small","According to Seikku , the retail sector in Finland is [[policed]] by 3-4 large actors , while food manufacturers are still relatively small",2
219,"Pretax profit totalled [[EUR]] 2.0 mn , [[compared]] to a [[loss]] of EUR 159.2 mn in the fourth quarter of 2008","Pretax profit totalled [[EUROS]] 2.0 mn , [[compares]] to a [[wasting]] of EUR 159.2 mn in the fourth quarter of 2008",0
220,Tekla Group 's [[net]] [[sales]] for 2006 were [[approximately]] 50 million [[euros]] and operating result 13.6 million euros,Tekla Group 's [[filet]] [[soiled]] for 2006 were [[nigh]] 50 million [[euro]] and operating result 13.6 million euros,2
221,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) [[issued]] on Thursday ( 18 September ) a [[profit]] warning for the third quarter of 2008,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) [[issuance]] on Thursday ( 18 September ) a [[benefit]] warning for the third quarter of 2008,1
