id,sentence,snippets,target,sentiment_score,aspects
177,"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG",['completes acquisition of'],ICOA,0.451,['Corporate/M&A/M&A']
178,Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,"[""declares 'best ever' Black Friday and Cyber Monday""]",AMZN,0.434,['Corporate/Sales']
179,Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,['Hitting HOD here.'],VVUS,0.609,['Stock/Price Action/Bullish/Bullish Behavior']
180,$ISR- @IsoRay Up 6% and high on volume http://stks.co/iFpo #biotech,['Up 6% and high on volume'],ISR,0.612,['Stock/Price Action/Bullish/Bullish Behavior']
181,$FB Nice buyable intraday dip right here,['Nice buyable intraday dip right here'],FB,0.492,['Stock/Price Action/Bullish']
182,$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,['Accumulation chart continues to make new highs showing accumulation continuing to take place'],LSCC,0.497,['Stock/Price Action/Volume/Unusual high volume']
183,$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,['could see more upside'],SAVE,0.546,['Stock/Price Action/Bullish']
184,$GOOG resistance turned support?  It,['resistance turned support?'],GOOG,0.34,['Stock/Technical Analysis']
185,$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,['calls are +35% since entry'],CRM,0.519,['Stock/Price Action/Bullish/Bullish Behavior']
186,Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,['Current holdings via options - Long'],V,0.635,['Stock/Options']
187,$AAPL I am big OUT from this. seems its falling towards 530.. :(,['seems its falling towards'],AAPL,-0.639,['Stock/Price Action/Bearish']
188,$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU,['Momentum building for breakout trigger ! Long setup'],PKT,0.592,['Stock/Price Action/Bullish/Bullish Behavior']
189,$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,['short term consolidation then movement higher'],NFLX,0.231,['Stock/Price Action']
190,$UUP at major resistance right now. Can go much higher if it can break above. May take several attempts - few days to a week,['Can go much higher if it can break above'],UUP,0.171,['Stock/Price Action/Bullish/Bullish Behavior']
191,$spy $vxx $aapl the parties over loaded on $uvxy volatility is back,['volatility is back'],VXX,-0.223,['Market/Volatility]
192,$brcm raises revenue forecast,['raises revenue forecast'],BRCM,0.367,['Corporate/Financial/Financial Results/Earnings/Company Guidance']
193,$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,"[""Sounds like we'll see some green tomorrow.""]",BBRY,0.395,['Stock/Price Action/Bullish']
194,$ASTX Daily technical indicators are bullish. Breakout watch over 4.58  http://stks.co/eOvw,['Daily technical indicators are bullish'],ASTX,0.516,['Stock/Technical Analysis']
195,$EDU bouncing nicely after add-on (posted),['bouncing nicely'],EDU,0.437,['Stock/Price Action/Bullish/Bullish Behavior']
196,$YHOO A breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkUF,['breakout above $29.83 would constitute a technical entry'],YHOO,0.389,['Stock/Technical Analysis']
197,BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,['BULLISH Engulfing'],KO,0.551,['Stock/Technical Analysis']
198,$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,['buy programs poppin'],SPY,0.529,['Stock/Price Action/Bullish/Bullish Behavior']
199,"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",['LOOKS like we are bouncing'],JE,0.391,['Stock/Price Action/Bullish/Bullish Behavior']
200,$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,['the weakest sector this year and possible false breakout'],XLB,-0.458,['Stock/Price Action']
201,"$TYC just about to break out to new highs, lots of technicals looking great right now.",['just about to break out to new highs'],TYC,0.602,['Stock/Price Action/Bullish']
202,"$AAPL at pivot area on intraday chart- break here could send this to 50-day SMA, 457.80 http://stks.co/jPbN",['at pivot area on intraday chart'],AAPL,0.128,['Stock/Technical Analysis']
203,"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",['All time high tomorrow?'],SPY,0.297,['Stock/Price Action/Bullish/Bullish Behavior']
204,$SPY wouldn't be surprised to see a green close,"[""wouldn't be surprised to see a green close""]",SPY,0.416,['Stock/Price Action/Bullish']
205,@Vegastrader66 Looks like good entry for $QIHU here.,['Looks like good entry'],QIHU,0.453,['Stock/Signal/Buy Signal']
206,$INO back in this am small post,['back in this am small post'],INO,0.554,['Stock/Price Action/Bullish/Bull Position']
207,"@harmongreg: $BBRY wkly, Inverse Head and Shoulders forming, triggers over 18.50, PO at least 30.80, watching http://stks.co/iPVJ",['Inverse Head and Shoulders forming'],BBRY,0.394,['Stock/Technical Analysis']
208,$LINE biggies must be loading up here at lows..,['biggies must be loading up here at lows..'],LINE,0.438,['Stock/Price Action/Bullish/Bullish Behavior']
209,$GS is looking weak while this market is moving higher not a good sign. Unless $gs can get above 157. early short below 154.00 today.,['is looking weak while this market is moving higher not a good sign'],GS,-0.398,['Stock/Price Action/Bearish/Bearish Behavior']
210,Key level to watch in $FB for today is 25.53-- watching to see if it can hold as support http://stks.co/bOH4,['Key level to watch'],FB,-0.042,['Stock/Technical Analysis']
211,"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",['I was buying when everyone was selling'],YNDX,0.531,['Stock/Price Action/Bullish']
212,"Red Daily Triangle on $SHOR,...Scaling Up on Long Position http://stks.co/r82S",['Red Daily Triangle'],SHOR,0.661,['Stock/Technical Analysis']
213,@Megaas2000 $AAPL McDonalds had a big GROWING success for years with the same BigMac and Apple update and improbe Iphone and Ipad,['had a big GROWING success for years'],AAPL,0.295,['Corporate/Reputation']
214,EA Launches Origin Online Game Distribution for Mac http://stks.co/aKTU via MacRumors $EA,['Launches Origin Online Game Distribution for Mac'],EA,0.121,['Corporate/Strategy/New Product']
215,$ETN UPGRADE today by MS to overweight.  Excellent company and leadership,['UPGRADE today by MS to overweight.'],ETN,0.685,['Stock/Coverage/AnalystRatings/Upgrade']
216,"$AAPL double bottom could be in, keep in mind",['double bottom could be in'],AAPL,0.271,['Stock/Price Action/Bullish/Bullish Behavior']
217,@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up,['This time I think $AAPL will miss again'],AAPL,-0.363,['Corporate/Financial/Financial Results/Earnings/Earnings miss']
218,"$amrn Full bull call spread ranging July to Jan 15. Lets see what this baby does,",['Full bull call spread ranging July to Jan'],AMRN,0.681,['Stock/Options/Strategies/Bull Call Spread']
219,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!,['finished a great yr w 28% plus!'],FB,0.319,['Stock/Price Action/Bullish/Bullish Behavior']
220,@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,['Breakout coming Monday'],UNXL,0.478,['Stock/Technical Analysis/Breakout']
221,"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""","['ales exceed target, profitability guidance amended upward']",TSLA,0.526,['Corporate/Sales']
222,"Long Position on $GOL,...Updating http://stks.co/fdmm",['Long Position'],GOL,0.674,['Stock/Price Action/Bullish/Bull Position']
223,$SMH got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,['got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower'],SMH,-0.538,['Stock/Signal/Sell Signal']
224,$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,['up 33% since 6/25 buy signa'],OSUR,0.552,['Stock/Signal/Buy Signal']
225,$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,['chart rolling over'],SPY,-0.287,['Stock/Technical Analysis']
226,$NFLX +3% of the lows,['of the lows'],NFLX,0.323,['Stock/Price Action/Bullish/Bullish Behavior']
227,$SBUX getting sold here.,['getting sold here.'],SBUX,-0.551,['Stock/Price Action/Bearish/Bearish Behavior']
228,$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,['making the big added efficiency argument. betting on operational imporvement in a huge conglomerate'],PG,0.116,['Corporate/Strategy/Business Model']
229,$RIMM $spx $nya $compq $djia all going down,['all going down'],SPX,-0.559,['Stock/Price Action/Bearish']
230,"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous""""",['shorts are getting nervous'],ZNGA,0.366,['Stock/Price Action/Bullish']
231,$ocn has the stuff. Will be looking to add shares if we get a new high breakout.,['Will be looking to add shares if we get a new high breakout.'],OCN,0.421,['Stock/Price Action/Bullish/Bull Position']
232,$BBRY hearing rumours of a major joint venture announcement.,['hearing rumours of a major joint venture announcement'],BBRY,0.427,['Corporate/Rumors']
233,$AAPL Good time to buy. Will the run come before earnings or after?,['Good time to buy.'],AAPL,0.533,['Stock/Price Action/Bullish']
234,"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",['congrats shorts'],QIHU,-0.494,['Stock/Price Action/Volatility/Short Selling']
235,$UVXY Put the chum out there at key support then next level down - careful,['Put the chum out there at key support then next level down - careful'],UVXY,-0.32,['Stock/Price Action/Bearish']
236,Entering long Lockheed Martin $LMT at Thursday's open. http://stks.co/eXtA,['Entering long'],LMT,0.627,['Stock/Price Action/Bullish/Bull Position']
237,@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,['possible double bottom set up'],GLD,0.272,['Stock/Technical Analysis']
238,"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",['Key price to watch'],NFLX,-0.341,['Stock/Technical Analysis']
239,$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,['Tomorrow party time for the Bears'],SPY,-0.454,['Stock/Price Action/Bearish']
240,"$SLV -4.44% at 18 now AWFUL, down from 42.50","['AWFUL, down from 42.50']",SLV,-0.591,['Stock/Price Action/Bearish']
241,$SPY c'mon bulls buy DIPS!,"[""c'mon bulls buy DIPS!""]",SPY,0.228,['Stock/Price Action/Bullish']
242,@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,['chart shows distinctive down channel'],SPY,-0.443,['Stock/Technical Analysis']
243,$DXCM - Making higher highs & higher lows as it consolidates over past several weeks. 26.70 was all time high (2006).,['Making higher highs & higher lows'],DXCM,0.478,['Stock/Price Action/Bullish/Bullish Behaviour']
244,"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ",['breaks major support'],QQQ,-0.455,['Stock/Price Action']
245,$CRUS Upgraded to a buy by Alpha Street Research,['Upgraded to a buy'],CRUS,0.715,['Stock/Coverage/AnalystRatings/Upgrade']
246,"$NFLX small pos, short 180 wkly puts.","['small pos, short 180 wkly puts.']",NFLX,-0.597,['Stock/Options/Strategies/Bear Put Spread']
247,$TSLA I see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved,['I see more downside in next two weeks'],TSLA,-0.477,['Stock/Price Action/Bearish']
248,$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,['Big Money Is Pouring Into'],FB,0.645,['Stock/Price Action/Bullish']
249,$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,['#lost revenue in the range of $12 million to $17 million -not good'],LULU,-0.43,['Corporate/Sales']
250,@Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry,['the potential of QNX BES10 and BBM  cross platform'],BBRY,0.284,['Corporate/Strategy/New Product']
251,$NUGT longer term bullish,['longer term bullish'],NUGT,0.814,['Stock/Price Action/Bullish']
252,"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",['Increases Quarterly Cash Dividend'],QCOR,0.576,['Corporate/Dividend Policy']
253,$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,['Still not breaking out'],PAY,0.093,['Stock/Price Action']
254,$SPY  still wants higher I think.,['still wants higher I think'],SPY,0.448,['Stock/Price Action/Bullish']
255,$BBRY lets see 14+ today,['lets see 14+ today'],BBRY,0.302,['Stock/Price Action/Future Price/Direction']
256,$DCTH Near HOD,['Near HOD'],DCTH,0.366,['Stock/Price Action/Bullish/Bullish Behavior']
257,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,['evenue growing over 30%'],MSFT,0.454,['Corporate/Sales']
258,$GTE LONG at 7.44,['LONG at'],GTE,0.732,['Stock/Price Action/Bullish/Bull Position']
259,$DARA breaking out,['breaking out'],DARA,0.427,['Stock/Price Action/Bullish']
260,$TSLA gyrating @ S1 above gap. keeping an eye on S2 http://stks.co/jQfB,['S1 above gap. keeping an eye on S2'],TSLA,0.346,['Stock/Price Action/Bullish']
261,"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",['Sell Short Position on'],CNP,0.155,['Stock/Price Action/Volatility/Short Selling']
262,$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,['lost .03c per share'],BBRY,-0.238,['Corporate/Financial/Financial Results/Earnings']
263,$BBRY nice bounce,['nice bounce'],BBRY,0.296,['Stock/Price Action/Bullish']
264,"$DNN picked some up, like this going into 2014","['picked some up, like this going into 2014']",DNN,0.653,['Stock/Price Action/Bullish/Bull Position']
265,$NUGT Gold above 1400...wow,['Gold above 1400...wow'],NUGT,0.424,['Stock/Price Action/Bullish']
266,$BBRY Ready for Take OFF!,['Ready for Take OFF!'],BBRY,0.472,['Stock/Price Action/Bullish']
267,$VOLC THIS STOCK HAS A VERY VERY VERY VERY VERY HIGH PROBABILITY OF RALLYING TOMORROW AND/OR EARLY NEXT WEEK,['VERY HIGH PROBABILITY OF RALLYING TOMORROW'],VOLC,0.72,['Stock/Price Action/Bullish']
268,"$YOKU high volume blast off Friday, goes higher  http://stks.co/qSaL","['high volume blast off Friday, goes higher']",YOKU,0.565,['Stock/Price Action/Bullish/Bullish Behavior']
269,$aapl key is to breakout above 460 on solid volume or else it's a no trade for now,['key is to breakout above 460 on solid volume'],AAPL,0.123,['Stock/Technical Analysis/Breakout']
270,$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,['bumping its head on declining daily 8ma as overhead resistance'],SPY,-0.35,['Stock/Price Action/Bullish/Bullish Behavior']
271,"Long Position on $IP,....Scaling UP http://stks.co/sIln",['Long Position'],IP,0.662,['Stock/Price Action/Bullish/Bull Position']
272,$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,"[""Lot's of sellers trying to get out.""]",FB,-0.215,['Stock/Price Action/Bearish/Bearish Behavior']
273,The Boeing Company (NYSE:BA) Bearish Trader bets $550K that Stock Will Sell Off 9.79% by July Expiry $BA http://stks.co/tCSE,['Bearish Trader bets $550K that Stock Will Sell Off'],BA,-0.493,['Stock/Price Action/Bearish/Bear Position']
274,"$TXRH reports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.","['eports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.']",TXRH,0.365,['Corporate/Financial/Financial Results/Earnings']
275,"$AAPL is now beaten down, hated, etc. / hhhmm opposite of 700> what happens next?","['is now beaten down, hated']",AAPL,-0.303,['Stock/Price Action/Bearish/Bearish Behavior']
276,@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment,['Nice pop today. Told ya we would be green haha'],NOK,0.404,['Stock/Price Action/Bullish/Bullish Behavior']
277,$AMCN pushing highs,['pushing highs'],AMCN,0.543,['Stock/Price Action/Bullish/Bullish Behavior']
278,@pierrules: $SIRI LONG!!,['LONG!!'],SIRI,0.759,['Stock/Price Action/Bullish/Bull Position']
279,$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,['SUSPECT TO TAKE HIGHS'],FB,0.442,['Stock/Price Action/Bullish/Bullish Behavior']
280,$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,['Currently it is the shorts rejoicing'],AMRN,-0.54,['Stock/Price Action']
281,"$CNDO 21% short float, shorts likely to take profits into close",['shorts likely to take profits into close'],CNDO,-0.327,['Stock/Price Action/Current Price/Oversold']
282,$RNN staying above the open a very good sign!!!,['staying above the open a very good sign!!!'],RNN,0.551,['Stock/Price Action/Bullish/Bullish Behavior']
283,Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner,"[""Watch these bancos.they're holding up relatively well""]",XLF,0.394,['Stock/Price Action']
284,$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX),['1click away from a cliff drop'],CAT,-0.337,['Stock/Price Action/Bearish/Bearish Behavior']
285,$PRGN A bottom right here?,['A bottom right here?'],PRGN,0.041,['Stock/Price Action']
286,"$SPY Less than 0.2% down and people are calling it bearish. Some heading for exits already. Maybe 1% down will be ""the crash""? Disturbing!",['Less than 0.2% down and people are calling it bearish. Some heading for exits already'],SPY,-0.148,['Stock/Price Action']
287,"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",['bull flag on the daily'],P,0.335,['Stock/Price Action/Bullish']
288,$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,['Momentum slowing after a huge run.'],AAPL,0.124,['Stock/Price Action']
289,$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,['A potential bearish shark pattern'],V,-0.326,['Stock/Technical Analysis']
290,$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,['Trailing 12 months operating cash flow'],AMZN,-0.009,['Corporate/Financial/Accounting/Cash Flow']
291,"$RNN day traders flushed out, it should start going up slowly from now on .",['it should start going up slowly from now on'],RNN,0.411,['Stock/Price Action/Bullish']
292,@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,['descending triangle breakdown'],IWM,-0.382,['Stock/Technical Analysis']
293,$YELP This goes green and so many shorts are toast!,['This goes green and so many shorts are toast!'],YELP,0.463,['Stock/Price Action/Bullish']
294,RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,['Still not technically oversold so now big bounce yet'],MU,-0.046,['Stock/Technical Analysis']
295,$AMRN Got sell signal 7/1/14 still in force with target below 1.50,['Got sell signal'],AMRN,-0.431,['Stock/Signal/Sell Signal']
296,"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",['Going lower. Forget about it or go short.'],SLV,-0.631,['Stock/Price Action/Bearish/Bearish Behavior']
297,New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,['New recommendation from Carl Kirst of BMO Capital Markets for'],WMB,0.566,['Stock/Coverage/AnalystRatings']
298,$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,['Inside week buy triggers'],LOCO,0.485,['Stock/Technical Analysis']
299,"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",['get ready for suspended dividend'],RIG,-0.023,['Corporate/Dividend Policy']
300,$AAPL Nice RSI 33 bounce at 9:58,['Nice RSI 33 bounce'],AAPL,0.291,['Stock/Technical Analysis']
301,"$AXDX I got bored, and took my proprietary profit exit. I didn't like the option liquidity and lousy spreads.","[""took my proprietary profit exit. I didn't like the option liquidity and lousy spreads.""]",AXDX,-0.334,['Stock/Price Action/Bearish']
302,$NFLX Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report..800$ year end no matter what,['Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report.'],NFLX,0.577,['Stock/Price Action/Bullish']
303,$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.,['short boat is getting full on this one'],IWM,-0.262,['Stock/Price Action/Bearish']
304,@saltwaternurse $INO can test 10 again in next few days. time to take some profits here. or hedge with puts.,['time to take some profits here'],INO,-0.169,['Stock/Price Action/Bearish']
305,"@Stockoptionexpert: $MAT - 6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols",['big trader added 10000 April put contracts'],MAT,-0.576,['Stock/Options/Unusual Put Activity']
306,$FTI Breakout today after reporting earnings last night,['Breakout today'],FTI,0.554,['Stock/Technical Analysis/Breakout']
307,"$KO had missed earnings expectations for the last two quarters, so today’s strong results came as a major surprise http://stks.co/d0RHF",['so today’s strong results came as a major surprise'],KO,0.338,['Corporate/Financial/Financial Results/Earnings/Earnings Beat']
308,$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,['Nice buy signals here!'],COH,0.527,['Stock/Signal/Buy Signal']
309,$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,['mrkt needs to washout. to hunt well need 2 wait stalk.'],TWTR,-0.055,['Stock/Price Action']
310,$RAD All my charts are flashing oversold.,['All my charts are flashing oversold.'],RAD,-0.011,['Stock/Price Action/Current Price/Oversold']
311,$RSOL bought 3500 shares today!,['bought 3500 shares today!'],RSOL,0.738,['Stock/Price Action/Bullish/Bull Position']
312,$ARIA This is the reason why shorts don't show up...long steady small climbs. The best way to accrue value. IMO,['long steady small climbs'],ARIA,0.484,['Stock/Price Action/Bullish/Bullish Behaviour']
313,$CAMT Looks like might break down. I'm out,"[""Looks like might break down. I'm out""]",CAMT,-0.516,['Stock/Price Action/Bearish/Bearish Behaviour']
314,$ATHN Seems like a good short setup. Stop above the 50 day. No position.,['Seems like a good short setup'],ATHN,-0.338,['Stock/Price Action/Volatility/Short Selling']
315,$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,['Market getting crushed today'],KIOR,-0.302,['Market/Market']
316,$AAPL  downgrade is bias. This stock is a buy.,['This stock is a buy.'],AAPL,0.498,['Stock/Price Action/Bullish']
317,LinkedIn Revenue Up Nearly 50% http://stks.co/g1F4T  $LNKD,['Revenue Up Nearly 50%'],LNKD,0.423,['Corporate/Financial/Financial Results/Earnings']
318,$PLUG bear raid,['bear raid'],PLUG,-0.48,['Stock/Price Action/Bearish']
319,$GPRO down 25% since Tue morning.,['down 25% since Tue morning.'],GPRO,-0.527,['Stock/Price Action/Bearish']
320,$ROST Ross Stores Upgraded to Outperform at RBC Capital Markets http://stks.co/j0Q9t,['Upgraded to Outperform'],ROST,0.565,['Stock/Coverage/AnalystRatings/Upgrade']
321,$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,['Bounce Player!'],ARIA,0.383,['Stock/Price Action/Bullish/Bullish Behavior']
322,"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",['letting the RSI take a breather.'],TSLA,0.362,['Stock/Technical Analysis']
323,$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,['company is on the right track they are still improving sales'],RAD,0.401,['Corporate/Sales/Sales']
324,$GTAT Will re-enter short on bounce...,['Will re-enter short on bounce...'],GTAT,-0.46,['Stock/Price Action/Bearish']
325,$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5,['Ascending triangle gives a bullish bias to this chart'],TROW,0.544,['Stock/Technical Analysis']
326,$AEGN MACD and ADX are crossing over the signal lines! Long Setup http://stks.co/qzzx,['MACD and ADX are crossing over the signal lines! Long Setup'],AEGN,0.569,['Stock/Signal/Buy Signal']
327,what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO,['large players are selling'],INO,-0.507,['Stock/Price Action/Volatility/Selling Pressure']
328,$RNN More bleeding Monday.,['More bleeding Monday.'],RNN,-0.465,['Stock/Price Action/Bearish']
329,$PLUG Closed short position. Small gain. Not interested in options expiring worthless,['Closed short position. Small gain.'],PLUG,0.143,['Stock/Price Action/Volatility/Short Selling']
330,$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,['still having some trouble at the resistance line'],UBNT,0.071,['Stock/Price Action']
331,$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,['this stock slowly falling everyday'],TWTR,-0.264,['Stock/Price Action/Bearish/Bearish Behaviour']
332,$MXWL Oh snap. Just went long again. LT,['Just went long again'],MXWL,0.691,['Stock/Price Action/Bullish/Bull Position']
333,$HRL ready to pop! http://stks.co/s0Ny4,['ready to pop!'],HRL,0.336,['Stock/Price Action/Bullish']
334,Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,['SUPER overbought.'],OFIX,-0.497,['Stock/Price Action/Bearish']
335,$FB i guess they want it down look at the those sell orders,['guess they want it down look at the those sell orders'],FB,-0.465,['Stock/Price Action/Bearish/Bearish Behaviour']
336,@ACInvestorBlog: $SPY eod run :),['eod run :)'],SPY,0.391,['Stock/Price Action/Bullish/Bullish Behavior']
337,Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.,['did not break 10.40 coz I was told that is key support level.'],BBRY,0.145,['Stock/Price Action']
338,$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,['slid to a four-year low'],WTI,-0.369,['Stock/Price Action/Bearish/Bearish Behavior']
339,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,['bounce here on support or H&S setup this area is very important for bulls'],CDTI,0.374,['Stock/Price Action']
340,$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,['Price experiencing early rejection'],LNKD,-0.228,['Stock/Price Action/Bearish']
341,3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.,['reiterated a HOLD rating'],NTAP,0.214,['Stock/Coverage/AnalystRatings']
342,$GOOG Testing the 200 day after some consolidation http://stks.co/h0cPJ,['Testing the 200 day after some consolidation'],GOOG,0.285,['Stock/Technical Analysis']
343,Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,['Receives a Sell from'],WAC,-0.45,['Stock/Coverage/AnalystRatings/Downgrade']
344,"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",['technical swing long basis'],TWTR,0.591,['Stock/Technical Analysis']
345,"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us","['If bulls lucky enuff to get an upside gap fill,']",HAL,0.054,['Stock/Price Action/Bullish/Bullish Behavior']
346,@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,['has a 42.71% Float Short'],SODA,-0.392,['Stock/Price Action/Bearish/Bearish Behavior']
347,"@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD. Currently up +3%"" up +5%",['A close over 24.18 is bullish'],SPY,0.361,['Stock/Price Action']
348,$KEP breaking out when the market pulls back  http://stks.co/r0cet,['breaking out when the market pulls back'],KEP,0.413,['Stock/Price Action/Bullish']
349,$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,['will go up much higher after this drop'],VIPS,0.479,['Stock/Price Action']
